台文,台羅,中文,英文
賣物件予大單位數攏著先寄咧，月底才做一改清，是講「一千賒毋值八百現」，貨去錢無看見，總是較袂放心。,"Bē mi̍h-kiānn hōo tuā tan-uī siàu lóng tio̍h sing kià--leh, gue̍h-té tsiah tsò tsi̍t kái tshing, sī-kóng “tsi̍t-tshing sia m̄-ta̍t peh-pah hiān”, huè khì tsînn bô khuànn--kìnn, tsóng--sī khah bē hòng-sim.",賣東西給大單位帳都要先記著，月底才一次撥付，可是「一千元的賒帳不如八百元的現金」，貨搬走了錢卻還看不到，總是比較不放心。,"Selling goods to large units, you have to remember the account first. It is only paid once at the end of the month. However, ""it's better to have 800 yuan in cash than 1000 yuan on credit."" The goods are gone, but the money is still not seen. It's always more worrying."
我去夜市仔開兩百箍買著這條椅仔，哪知坐無兩工就害去，袂輸擤鼻糊的，人講「一分錢，一分貨」，有影俗物就無好貨。,"Guá khì iā-tshī-á khai nn̄g-pah khoo bé-tio̍h tsit liâu í-á, ná tsai tsē bô nn̄g kang tō hāi--khì, bē-su tshìng-phīnn kôo--ê, lâng kóng “tsi̍t hun tsînn, tsi̍t hun huè”, ū-iánn sio̍k-mi̍h tō bô hó huè.",我去夜市花了兩百塊買到這張椅子，哪知道坐不到兩天就壞了，就好像用鼻涕黏的一樣，人家說「一分錢，一分貨」，果然便宜就沒好貨。,"I spent two hundred dollars at the night market to buy this chair, but little did I know it would break in less than two days. It's like it was glued together with snot. They say, 'You get what you pay for,' and it's true that cheap things are not good quality."
伊做人真凍霜，「一个錢拍二十四个結」，攏干焦欲共人偏，毋捌講欲請人。,"I tsò-lâng tsin tàng-sng, “tsi̍t ê tsînn phah jī-tsa̍p-sì ê kat”, lóng kan-na beh kā lâng phinn, m̄ bat kóng beh tshiánn--lâng.",他為人小氣，「荷包看得緊緊的」，都只想佔人便宜，從來沒說過要請客。,"He is stingy, ""holding his purse tightly"", always wanting to take advantage of others, never offering to treat."
金木伯的孤囝去日本留學，閣提著博士學位，這款的子弟真正是「一斗較贏九石」，通庄的人攏呵咾甲會觸舌！,"Kim-bo̍k peh ê koo-kiánn khì Ji̍t-pún liû-ha̍k, koh the̍h-tio̍h phok-sū ha̍k-uī, tsit khuán ê tsú-tē tsin-tsiànn sī “tsi̍t táu khah iânn káu tsio̍h”, thong tsng ê lâng lóng o-ló kah ē tak-tsi̍h!",金木伯的獨子去日本留學，又拿到博士學位，這樣的子弟真正是「少量的精品，勝過大量的劣質品」，整個村里的人都讚不絕口！,"The only output I can generate is: Jin Mubo's only son went to Japan to study and obtained a doctoral degree. Such a child is truly ""a small quantity of high-quality goods is better than a large quantity of inferior goods,"" and the whole village praises him endlessly!"
你這个囡仔「一日走拋拋，一暝點燈膋」，規工顧咧𨑨迌，暗時才來那寫宿題那盹龜，實在誠害。,"Lí tsit ê gín-á “tsi̍t ji̍t tsáu-pha-pha, tsi̍t mê tiám ting-lâ”, kui-kang kòo leh tshit-thô, àm-sî tsiah lâi ná siá siok-tê ná tuh-ku, si̍t-tsāi tsiânn hāi.",你這個孩子本末倒置，「白天四處遊蕩，晚上挑燈夜戰」，整天只顧著玩樂，夜裡才邊寫功課邊打盹，真是糟糕。,"You are a child who has got things upside down, ""wandering around during the day, fighting with the lamp at night"", only caring about playing all day, and dozing off while doing homework at night. It's really terrible."
拄去剃頭店剃頭轉來，厝邊兜的人看著就共我呵咾講：「一日剃頭，三日緣投。」,"Tú khì thì-thâu-tiàm thì-thâu tńg--lâi, tshù-pinn-tau ê lâng khuànn--tio̍h tō kā guá o-ló kóng, “Tsi̍t ji̍t thì-thâu, sann ji̍t iân-tâu.”",剛從理髮店理髮回來，鄰居看到就稱讚我說：「一天理髮，三天英俊。」,"Just back from the barber shop, my neighbor saw me and praised, 'A haircut a day, handsome for three days.'"
伊講欲認真準備考試，這馬呔會閣「一日討海，三日曝網」，激放放咧。,"I kóng beh jīn-tsin tsún-pī khó-tshì, tsit-má thài ē koh “tsi̍t ji̍t thó-hái, sann ji̍t pha̍k bāng”, kik hòng-hòng--leh.",他不是說要認真準備考試，怎麼現在又「三天打魚，兩天晒網」，裝得一副毫不在意的樣子呢。,"He said he would seriously prepare for the exam, but now he's ""fishing for three days and drying the net for two days,"" pretending to be completely indifferent."
人講：「一日徙栽，三日徛黃。」若不時咧換頭路，想欲高升就僫囉。,"Lâng kóng, “Tsi̍t ji̍t suá-tsai, sann ji̍t khiā-n̂g.” Nā put-sî teh uānn thâu-lōo, siūnn-beh ko-sing tō oh--looh.",人們說：「移植一次，蔫黃三日。」若經常換工作，恐就無法順利高升囉。,"People say, 'Transplant once, wilt for three days.' If you frequently change jobs, you may not be able to smoothly advance."
一寡爸母對𪜶囝兒的教育傷過關心，要求欲換班級，抑是調去別間學校，毋過「一日徙栽，三日徛黃」，囡仔人曷會堪得按呢搬徙，嘛無法度注心來讀冊。,"Tsi̍t-kuá pē-bú tuì in kiánn-jî ê kàu-io̍k siunn kuè kuan-sim, iau-kiû beh uānn pan-kip, ia̍h-sī tiàu-khì pa̍t king ha̍k-hāu, m̄-koh “tsi̍t ji̍t suá-tsai, sann ji̍t khiā-n̂g”, gín-á-lâng a̍h ē-kham-tit án-ne puann-suá, mā bô-huat-tōo tsù-sim lâi tha̍k-tsheh.",一些父母對於他們的小孩的教育太過關心，要求要換班級，或是調去別間學校，但是「移植一次，蔫黃三日」，小孩子怎麼能受得了這樣遷移，也沒辦法用心讀書。,"Some parents are overly concerned about their children's education, demanding to change classes or transfer to another school, but ""transplanting once, wilting for three days"", how can children withstand such migration and not be able to study hard."
有當時仔仝公族仔咧食會的時，大部份的人互相攏無相捌，莫怪俗語講：「一代親，二代表，三代毋捌了了。」,"Ū-tang-sî-á kāng kong-tso̍k-á teh tsia̍h-huē ê sî, tuā-pōo-hūn ê lâng hōo-siong lóng bô sio-bat, bo̍k-kuài sio̍k-gí  kóng, “It tāi tshin, jī tāi piáu, sann tāi m̄ bat liáu-liáu.”",有時候親族定期餐會聚餐的時候，大部分的人彼此都不認識，難怪俗話說：「親戚間的往來，一代比一代疏遠。」,"Sometimes, during regular family gatherings, most people do not know each other. No wonder there is a saying, 'The interaction between relatives becomes more distant with each generation.'"
咱講話氣口愛溫和，話語愛撙節，毋通像俗語講的，「一句話三角六尖」，才袂去傷著人。,"Lán kóng-uē khuì-kháu ài un-hô, uē-gí ài tsún-tsat, m̄-thang tshiūnn sio̍k-gí kóng--ê, “tsi̍t kù uē sann kak la̍k tsiam”, tsiah bē khì siong-tio̍h lâng.",我們說話語氣要溫和，話語要節制，別像俗話說的，「說話帶刺」，才不會傷人。,"We should speak in a gentle tone, moderate our words, and not be like the saying goes, 'words with thorns', so as not to hurt others."
有的人「一句話三角六尖」，出喙就去傷著人，毋過有的人就加真有外才，講著話在伊挲圓捏扁、抹壁雙面光。,"Ū ê lâng “tsi̍t kù uē sann kak la̍k tsiam”, tshut-tshuì tō khì siong-tio̍h lâng, m̄-koh ū ê lâng tō ke tsin ū guā-tsâi, kóng-tio̍h uē tsāi i so-înn-tēnn-pínn, buah-piah siang-bīn kng.",有的人「言語銳利」，出言就傷人，不過有的人就很有交際能力，說起話來能字斟句酌、兩面討好。,"Some people are ""sharp-tongued"" and hurt others with their words, but some people are very sociable and can carefully choose their words and please both sides."
少年人愛有定性，毋通「一年換二十四个頭家」，定定咧換頭路，按呢欲哪會有出脫？,"Siàu-liân-lâng ài ū tīng-sìng, m̄-thang “tsi̍t nî uānn jī-tsa̍p-sì ê thâu-ke”, tiānn-tiānn teh uānn thâu-lōo, án-ne beh ná ē ū tshut-thuat?",年輕人要有定性，不要「一年換二十四個雇主」，老是在換工作，這樣怎麼會有出息？,"Young people should have stability and not ""change employers every year"", always switching jobs. How can they succeed like this?"
𪜶序大人不時苦勸伊食食、睏眠愛正常，伊煞「一耳空入，一耳空出」，今身體出問題矣，欲怪啥人！,"In sī-tuā-lâng put-sî khóo-khǹg i tsia̍h-si̍t, khùn-bîn ài tsìng-siông, i suah “tsi̍t hīnn-khang ji̍p, tsi̍t hīnn-khang tshut”, tann sin-thé tshut būn-tê--ah, beh kuài siánn-lâng!",他父母親常常勸告他飲食與睡眠要正常，他卻「右耳進，左耳出」，現在身體出狀況了，要怪誰呢！,"His parents often advised him to have a regular diet and sleep, but he ""listened with one ear and let it out the other"". Now that his health is in bad condition, who should he blame?"
代誌欲做進前，愛先想予清楚，計畫予好勢，「一步棋，一步著」，跤踏實地照步來，按呢就較會順序、較會成功。,"Tāi-tsì beh tsò tsìn-tsîng, ài sing siūnn hōo tshing-tshó, kè-uē hōo hó-sè, “tsi̍t pōo kî, tsi̍t pōo tio̍h”, kha-ta̍h-si̍t-tē tsiàu-pōo-lâi, án-ne tō khah ē sūn-sī, khah ē sîng-kong.",做事情前，應當先思慮清楚，計畫周全，「按部就班，步步為營」，腳踏實地來做，就會比較順利，比較能成功。,"Before doing things, one should think carefully, plan thoroughly, 'proceed step by step, and be cautious', and do things steadily, then it will be smoother and more successful."
秀玲咧做代誌真謹慎，事事項項攏準備甲誠周至，就像人咧講的：「一步棋，一步著。」代誌交代伊去發落，予人足放心。,"Siù-lîng teh tsò tāi-tsì tsin kín-sīn, sū-sū-hāng-hāng lóng tsún-pī kah tsiânn tsiu-tsì, tō tshiūnn lâng teh kóng--ê: “Tsi̍t pōo kî, tsi̍t pōo tio̍h.” Tāi-tsì kau-tài i khì hua̍t-lo̍h, hōo lâng tsiok hòng-sim.",秀玲做事十分謹慎，凡事都準備得很周全，就像人們說的：「做事按部就班。」將事情交代給他去張羅，讓人十分放心。,"Xiu Ling is very cautious in her work, preparing everything thoroughly, just like people say, 'Do things step by step.' Entrusting things to her makes people feel very reassured."
毋免怨嘆家己歹命，俗語講：「一枝草，一點露。」咱若肯拍拚，就免驚袂當出頭天。,"M̄-bián uàn-thàn ka-kī pháinn-miā, sio̍k-gí kóng, “Tsi̍t ki tsháu, tsi̍t tiám lōo.” Lán nā khíng phah-piànn, tō bián kiann bē-tàng tshut-thâu-thinn.",不要抱怨自己命不好，俗話說：「一枝草，一點露。」我們若肯努力奮鬥，就不用怕不能闖出一片天。,"Don't complain about your bad luck, as the saying goes, 'A blade of grass, a drop of dew.' If we are willing to work hard and strive, we don't have to be afraid of not making a mark."
你莫嫌伊無半撇，後擺無出脫，人咧講：「一枝草，一點露。」以後的代誌啥人會知？,"Lí mài hiâm i bô-puànn-phiat, āu-pái bô tshut-thuat, lâng teh kóng: “Tsi̍t ki tsháu, tsi̍t tiám lōo.” Í-āu ê tāi-tsì siánn-lâng ē tsai?",你別嫌他什麼也不會，以後沒出息，人家說：「天生我才必有用。」以後的事情誰知道？,"Don't complain about him not being able to do anything. In the future, he will be useless. People say, 'Those who are born talented will be useful.' Who knows what will happen in the future?"
咱巷仔口彼个陳董的閣去自助餐買便當來食矣，枉費伊大某、細姨媠噹噹，厝內煞定定冤家量債，無人欲煮予食。莫怪人講：「一某無人知，兩某相卸代。」,"Lán hāng-á-kháu hit ê Tân-táng--ê koh khì tsū-tsōo-tshan bé piān-tong lâi tsia̍h--ah, óng-huì i tuā-bóo, sè-î suí-tang-tang, tshù-lāi suah tiānn-tiānn uan-ke-niû-tsè, bô lâng beh tsú hōo tsia̍h. Bo̍k-kuài lâng kóng, “Tsi̍t bóo bô lâng tsai, nn̄g bóo sio-sià-tāi.”",住巷口的陳董事長又去自助餐買便當來吃了，虧他有老婆、姨太太而且都很漂亮，家裡卻常常爭吵，沒人做飯給他吃。難怪人家說：「一夫一妻，夫唱婦隨；家有妻妾，雞犬不寧。」,"The chairman Chen, who lives at the entrance of the alley, went to the buffet to buy a lunchbox and ate it. It's a pity that he has a wife and a mistress, and they are both very beautiful, but there are often arguments at home, and no one cooks for him. No wonder people say, 'One husband, one wife, the husband sings and the wife follows; a family with wives and concubines, even the chickens and dogs are not at peace.'"
伊佇阮公司頂司誠滿意，下跤手人閣呵咾甲會觸舌，這款「一面抹壁雙面光」的工夫，一般人是無才調按呢。,"I tī guán kong-si tíng-si tsiânn muá-ì, ē-kha-tshiú-lâng koh o-ló kah ē tak-tsi̍h, tsit khuán “tsi̍t bīn buah-piah siang bīn kng” ê kang-hu, it-puann lâng sī bô tsâi-tiāu án-ne.",他在我們公司上屬很滿意，下屬也讚譽有加，這種「圓融的處世功夫」，一般人是沒辦法如此的。,"He is very satisfied with his superiors in our company, and his subordinates also praise him greatly. This kind of ""harmonious social skills"" is not something that ordinary people can do."
公司派我去外地拜訪客戶，一逝路遐遠，規氣「一兼二顧，摸蜊仔兼洗褲」，客戶拜訪煞，順紲來去揣真久無見面的朋友。,"Kong-si phài guá khì guā-tē pài-hóng kheh-hōo, tsi̍t tsuā lōo hiah hn̄g, kui-khì “it kiam jī kòo, bong lâ-á kiam sé khòo”, kheh-hōo pài-hóng suah, sūn-suà lâi-khì tshuē tsin kú bô kìnn-bīn ê pîng-iú.",公司派我到外地拜訪客戶，一趟路那麼遠，乾脆來個「一舉兩得」，客戶拜訪完，順道去找很久沒見面的朋友。,"The company sent me to visit clients in another city, since it's such a long trip, I might as well ""kill two birds with one stone"" and visit a friend I haven't seen in a long time on the way."
這改賣厝，毋但愛納真重的稅金，閣愛付中人錢，有影是「一隻牛剝雙領皮」，較算都算袂和。,"Tsit kái bē tshù, m̄-nā ài la̍p tsin tāng ê suè-kim, koh ài hù tiong-lâng tsînn, ū-iánn sī “tsi̍t tsiah gû pak siang niá phuê”, khah sǹg to sǹg-bē-hô.",這次賣房子，要負擔的稅金很吃重，還得支付仲介費，真的是「一頭牛剝兩張皮」，怎麼算都划不來。,"This time selling the house, the tax burden is heavy, and you have to pay the agency fee, it's really ""one cow stripped of two skins"", no matter how you calculate it, it's not worth it."
囡仔才叫一聲「阿爸」爾爾，老爸就「一隻蝨母嗙甲水牛大」，講𪜶囝啥物話都會曉講，這敢有影是真的？,"Gín-á tsiah kiò tsi̍t siann “a-pah” niā-niā, lāu-pē tō “tsi̍t tsiah sat-bó pòng kah tsuí-gû tuā”, kóng in kiánn siánn-mih uē to ē-hiáu kóng, tse kám ū-iánn sī tsin--ê?",小嬰兒才喊一聲「爸爸」而已，做父親的人就把「一隻小蝨子說成大水牛」，誇張到說他兒子什麼話都會說，這難道是真的嗎？,"Just a baby crying ""daddy"", but the father exaggerates it to say his son can say anything, is this true?"
