中文,台文,台羅,白話字
如此一來形成良性循環，,按呢造成良性循環，,"án-ne tsō-sîng liông-sìng sûn-khuân,","án-ne chō-sêng liông-sèng sûn-khoân,"
老闆娘有問我，,頭家娘有質問我，,"thâu-ke-niû ū tsit-būn--guá,","thâu-ke-niû ū chit-būn--góa,"
天龍人）,都市戇）,too-tshī-gōng ),to͘-chhī-gōng)
沒舉手的留在教室讀書；,無攑手的留佇教室讀冊；,bô gia̍h-tshiú--ê lâu tī kàu-sik tha̍k-tsheh;,bô gia̍h-chhiú--ê lâu tī kàu-sek tha̍k-chheh;
現搓、現煮、現吃，,現挲、現煠、現食，,"hiān so, hiān sa̍h, hiān tsia̍h,","hiān so,hiān sa̍h,hiān chia̍h,"
這盤叫做紅燒豆腐。,這盤叫做紅燒豆腐。,Tsit puânn kiò-tsò âng-sio tāu-hū.,Chit pôaⁿ kiò-chò âng-sio tāu-hū.
一九九七年年末，,一九九七年年尾，,"it kiú kiú tshit nî nî-bué,","it kiú kiú chhit nî nî-bóe,"
只能做『恩仳侍從』，,干焦會當做『恩仳侍從』，,"kan-na ē-tàng tsò ‘恩仳侍從’,","kan-na ē-tàng chò‘恩仳侍從’,"
作者：陳金順,作者：陳金順,tsok-tsiá: Tân Kim-sūn,chok-chiá:Tân Kim-sūn
才會缺席，,才會無出席，,"tsiah ē bô tshut-si̍k,","chiah ē bô chhut-se̍k,"
得要很久才有一件新衣可以穿。,著愛久久矣才有一領新衫通穿。,tio̍h-ài kú-kú--ah tsiah ū tsi̍t niá sin sann thang tshīng.,tio̍h-ài kú-kú--ah chiah ū chi̍t niá sin saⁿ thang chhēng.
大家快來看啊！,逐家緊來看喔！,ta̍k-ke kín lâi khuànn--ooh!,ta̍k-ke kín lâi khòaⁿ--o͘h!
很快就和他有說有笑。,真緊就會佮伊有講有笑。,tsin kín tiō ē kap i ū kóng ū tshiò.,chin kín tiō ē kap i ū kóng ū chhiò.
窯，早就疊好了，,窯，早就疊好勢，,"iô, tsá tō thia̍p hó-sè,","iô,chá tō thia̍p hó-sè,"
是誰說「數大便是美」，,彼句「濟來就是媠」是啥物人講的，,"Hit kù “tsuē--lâi tiō sī suí” sī siánn-mih-lâng kóng--ê,","Hit kù“chōe--lâi tiō sī súi”sī siáⁿ-mih-lâng kóng--ê,"
半小時、一小時的空閒時間要怎麼度過，,半點鐘、一點鐘的閒工欲按怎過，,"puànn tiám-tsing, tsi̍t tiám-tsing ê îng-kang beh án-tsuánn kuè,","pòaⁿ tiám-cheng,chi̍t tiám-cheng ê êng-kang beh án-chóaⁿ kòe,"
看了，你就知道，,看，你就知，,"khuànn, lí tō tsai,","khòaⁿ,lí tō chai,"
店裡的老闆無論男女，,無論查埔、查某的店頭家，,"bô-lūn tsa-poo, tsa-bóo ê tiàm-thâu-ke,","bô-lūn cha-po͘,cha-bó͘ ê tiàm-thâu-ke,"
自己把臉泡入水中的同時，,家己共面浸入水--裡的同時，,"ka-tī kā bīn tsìm ji̍p tsuí--lí ê tông-sî,","ka-tī kā bīn chìm ji̍p chúi--lí ê tông-sî,"
再抬起頭來呼吸……」、,才攑頭起來喘氣……」、,"tsiah gia̍h-thâu khí-lâi tshuán-khuì...”,","chiah gia̍h-thâu khí-lâi chhoán-khùi...”,"
包包仔粿的香蕉葉，,包包仔粿的弓蕉葉仔，,"pau pau-á-kué ê king-tsio hio̍h-á,","pau pau-á-kóe ê keng-chio hio̍h-á,"
有爸爸幫我戴游泳圈游泳的的印象；,有爸爸共我箍樹奶箍拍滂泅的印象；,ū pa-pa kā guá khoo tshiū-ling-khoo phah-pōng-siû ê ìn-sióng;,ū pa-pa kā góa kho͘ chhiū-leng-kho͘ phah-pōng-siû ê ìn-sióng;
還不到兩、三分鐘，,才無三、兩分鐘，,"tsiah bô sann, nn̄g hun-tsing,","chiah bô saⁿ,nn̄g hun-cheng,"
這些，我也不是完全看不懂，,遮的，我嘛毋是全然看無，,"tsia--ê, guá mā m̄ sī tsn̂g-liân khuànn-bô,","chia--ê,góa mā m̄ sī chn̂g-liân khòaⁿ-bô,"
糯米、鼠麴草、粿印、粿巾都排列在活動場所展覽，,秫米、鼠麴仔、粿印、粿巾攏排排佇活動場所展覽，,"tsu̍t-bí, tshí-khak-á, kué-ìn, kué-kin lóng pâi-pâi tī ua̍h-tāng tiûnn-sóo tián-lám,","chu̍t-bí,chhí-khak-á,kóe-ìn,kóe-kin lóng pâi-pâi tī oa̍h-tāng tiûⁿ-só͘ tián-lám,"
一九九七年年末，,一九九七年年尾，,"it kiú kiú tshit nî nî-bué,","it kiú kiú chhit nî nî-bóe,"
那間店，布的顏色有限，,彼間店，布的色緻有限，,"hit king tiàm, pòo ê sik-tī iú-hān,","hit keng tiàm,pò͘ ê sek-tī iú-hān,"
爸爸教我游泳的種種，,爸爸教阮學泅水的種種，,"pa-pa kà guán o̍h siû-tsuí ê tsióng-tsióng,","pa-pa kà goán o̍h siû-chúi ê chióng-chióng,"
像我的蛙式、仰式游泳就是在這跟爸爸學的。,像我的蛤仔泅、死囡仔䖙就是佇遮佮爸爸學來的。,"tshiūnn guá ê kap-á-siû, sí-gín-á-the tō sī tī tsia kah pa-pa o̍h--lâi--ê.","chhiūⁿ góa ê kap-á-siû,sí-gín-á-the tō sī tī chia kah pa-pa o̍h--lâi--ê."
如果跟女同學說我們夏天會去戲水打水花，,若佮查某同學講阮熱天會去泅水拍滂泅，,"nā kah tsa-bóo tông-o̍h kóng gún jua̍h-thinn ē khì siû-tsuí phah-phōng-siû,","nā kah cha-bó͘ tông-o̍h kóng gún joa̍h-thiⁿ ē khì siû-chúi phah-phōng-siû,"
對臺語文發展將有很大的貢獻。,對臺語文發展會有大幫贊。,tuì Tâi-gí-bûn huat-tián ē ū tuā pang-tsān.,tùi Tâi-gí-bûn hoat-tián ē ū tōa pang-chān.
他大大的眼睛靜靜對著淑珠看三秒鐘，,伊的大蕊目睭恬恬掠淑珠看三秒鐘，,"i ê tuā luí ba̍k-tsiu tiām-tiām lia̍h Siok-tsu khuànn sann bió-tsing,","i ê tōa lúi ba̍k-chiu tiām-tiām lia̍h Siok-chu khòaⁿ saⁿ bió-cheng,"
淑珠翻開學籍資料，,淑珠掀開學籍資料，,"Siok-tsu hian-khui ha̍k-tsi̍k tsu-liāu,","Siok-chu hian-khui ha̍k-che̍k chu-liāu,"
我們這都嘛化學的，,咱遐攏嘛化學的，,"lán hia lóng mā huà-ha̍k--ê,","lán hia lóng mā hòa-ha̍k--ê,"
那泳衣、泳褲長什麼樣子？」,啊游泳衫、游泳褲是生做啥物款？」,"ah iû-íng-sann, iû-íng-khòo sī senn-tsò siánn-mih-khuán?”","ah iû-éng-saⁿ,iû-éng-khò͘ sī seⁿ-chò siáⁿ-mih-khoán?”"
今天是九月初一，禮拜一,今仔日是九月初一，拜一,"kin-á-ji̍t sī káu-gue̍h tshe-it, pài-it","kin-á-ji̍t sī káu-goe̍h chhe-it,pài-it"
「怎麼這麼不公平！,「哪會遮無公平！,“ná ē tsiah bô kong-pênn!,“ná ē chiah bô kong-pêⁿ!
今天拿回來，,今仔日提轉來，,"kin-á-li̍t the̍h--tńg-lâi,","kin-á-li̍t the̍h--tńg-lâi,"
叫他跟同學道歉，,叫伊共同學會失禮，,"kiò i kā tông-o̍h huē-sit-lé,","kiò i kā tông-o̍h hōe-sit-lé,"
一. 數字,一. 數字,It. Sòo-jī,It.Sò͘-jī
我們品質如果不夠好，,咱的品質若無夠好，,"lán ê phín-tsit nā bô-kàu hó,","lán ê phín-chit nā bô-kàu hó,"
池子裡有貼磁磚，,池仔內有貼thài-lù，,"tî-á-lāi mā-ū tah thài-luh,","tî-á-lāi mā-ū tah thài-luh,"
社會的怪事,社會的奇怪代,siā-huē ê kî-kuài-tāi,siā-hōe ê kî-koài-tāi
甜的喔，我看一下菜單…,甜的喔，我看me̋-niú--一下…,"Tinn--ê--ooh, guá khuànn me̋-niú--tsi̍t-ē …","Tiⁿ--ê--o͘h,góa khòaⁿ mĕ-niú--chi̍t-ē…"
心一驚，,心肝頭嚓一下，,"sim-kuann-thâu tshia̍k--tsi̍t-ē,","sim-koaⁿ-thâu chhia̍k--chi̍t-ē,"
等待熟的時候才挖起來吃。,等候若熟才挖起來食。,tán-hāu nā si̍k tsiah óo khí-lâi tsia̍h.,tán-hāu nā se̍k chiah ó͘ khí-lâi chia̍h.
另外磨米的石磨，,另外挨粿的石磨仔，,"līng-guā e-kué ê tsio̍h-bō-á,","lēng-gōa e-kóe ê chio̍h-bō-á,"
剛開始擺放的時候，,頭拄才咧囥的時，,"Thâu-tú-tsiah teh khǹg ê sî,","Thâu-tú-chiah teh khǹg ê sî,"
七月時的心情,七月時仔的心情,tshit-gue̍h-sî-á ê sim-tsîng,chhit-goe̍h-sî-á ê sim-chêng
這就是做生意成功的首要條件。,這就是做生理欲成功的頭先素。,tse tō sī tsò-sing-lí beh sîng-kong ê thâu-sing-sòo.,che tō sī chò-seng-lí beh sêng-kong ê thâu-seng-sò͘.
做為投降曹操的獻禮，,做為投降曹操的獻禮，,"tsò-uî tâu-hâng Tsô Tshò ê hiàn-lé,","chò-ûi tâu-hâng Chô Chhò ê hiàn-lé,"
響不到三聲，,霆無三聲，,"tân bô sann siann,","tân bô saⁿ siaⁿ,"
有好幾層的水泥看台座位，,有幾若層的紅毛塗看台坐座，,"ū kuí-nā tsàn ê âng-mn̂g-thôo khuànn-tâi tsē-tsō,","ū kúi-nā chàn ê âng-mn̂g-thô͘ khòaⁿ-tâi chē-chō,"
現今我接近花甲之年了！,到今我倚近花甲年歲--矣！,kàu-tann guá uá-kīn hue-kah nî-huè--ah!,kàu-taⁿ góa óa-kīn hoe-kah nî-hòe--ah!
還有控制要放幾塊，,閣有控制著囥幾塊，,"koh ū khòng-tsè-tio̍h khǹg kuí tè,","koh ū khòng-chè-tio̍h khǹg kúi tè,"
只有台語人在要求「母語權」以外，,干焦台語人佇要求「母語權」以外，,"kan-na Tâi-gí-lâng tī iau-kiû “bó-gí-khuân” í-guā,","kan-na Tâi-gí-lâng tī iau-kiû“bó-gí-khoân”í-gōa,"
有做紅龜粿，,有做紅龜粿，,"ū tsò âng-ku-kué,","ū chò âng-ku-kóe,"
一九七五年老蔣總統去世，,一九七五年老的蔣總統過身，,"it kiú tshit ngóo nî lāu ê Tsiúnn tsóng-thóng kuè-sin,","it kiú chhit ngó͘ nî lāu ê Chiúⁿ chóng-thóng kòe-sin,"
這個游泳池是媽媽會下水學游泳、浮得起來的地方，,這个游泳池是媽媽會落水學泅、浮會起來的所在，,"tsit ê iû-íng-tî sī ma-ma ē lo̍h-tsuí o̍h siû, phû ē khí--lâi ê sóo-tsāi,","chit ê iû-éng-tî sī ma-ma ē lo̍h-chúi o̍h siû,phû ē khí--lâi ê só͘-chāi,"
如此一來學術程度就會提升，,按呢學術程度會提升，,"án-ni ha̍k-su̍t thîng-tōo ē thê-sing,","án-ni ha̍k-su̍t thêng-tō͘ ē thê-seng,"
包包仔粿的香蕉葉，,包包仔粿的弓蕉葉仔，,"pau pau-á-kué ê king-tsio hio̍h-á,","pau pau-á-kóe ê keng-chio hio̍h-á,"
是心裡有數，至於顏色嘛,心肝頭是有把握，色緻--嘛,"sim-kuann-thâu sī ū pá-ak, sik-tī--mah","sim-koaⁿ-thâu sī ū pá-ak,sek-tī--mah"
作者：廖瑞銘,作者：廖瑞銘,Tsok-tsiá: Liāu Suī-bîng,Chok-chiá:Liāu Sūi-bêng
只要爸爸開口說要去游泳戲水，,爸爸若開喙講欲去泅水拍滂泅，,"pa-pa nā khui-tshuì kóng beh khì siû-tsuí phah-phōng-siû,","pa-pa nā khui-chhùi kóng beh khì siû-chúi phah-phōng-siû,"
不然，這樣我們在這吃。,無，按呢咱蹛遮食。,"Bô, án-ne lán tuà tsia tsia̍h.","Bô,án-ne lán tòa chia chia̍h."
希望有一天，,希望有一工，,"Hi-bāng ū tsi̍t kang,","Hi-bāng ū chi̍t kang,"
就是搖尾狗，寵妾，,就是搖尾狗，寵妾，,"tō sī iô-bué-káu, thióng-tshiap,","tō sī iô-bóe-káu,thióng-chhiap,"
如果跟女同學說我們夏天會去戲水打水花，,若佮查某同學講阮熱天會去泅水拍滂泅，,"nā kah tsa-bóo tông-o̍h kóng gún jua̍h-thinn ē khì siû-tsuí phah-phōng-siû,","nā kah cha-bó͘ tông-o̍h kóng gún joa̍h-thiⁿ ē khì siû-chúi phah-phōng-siû,"
各行各業也都會準備拜拜求財利。,各行各業嘛攏會攢來拜拜求財利。,kok-hâng-kok-gia̍p mā lóng ē tshuân lâi pài-pài kiû tsâi-lī.,kok-hâng-kok-gia̍p mā lóng ē chhoân lâi pài-pài kiû châi-lī.
八十多歲的蔡培火老先生，,八十外歲的蔡培火老先生，,"pueh-tsa̍p-guā hèr ê Tshuà Puē-hér lāu-sian-sinn,","poeh-cha̍p-gōa hèr ê Chhòa Pōe-hér lāu-sian-siⁿ,"
第四代有從商的，,第四代有做生理--的，,"tē-sì tāi ū tsò-sing-lí--ê,","tē-sì tāi ū chò-seng-lí--ê,"
你能夠聽長輩這樣「談天說地」，,你有通聽長輩序大按呢「講天，講地，講鱟桸，講飯篱」，,"lí ū thang thiann tióng-puè sī-tuā án-ne “Kóng thinn, kóng tē, kóng hāu-hia, kóng pn̄g-lē”,","lí ū thang thiaⁿ tióng-pòe sī-tōa án-ne“Kóng thiⁿ,kóng tē,kóng hāu-hia,kóng pn̄g-lē”,"
這些老闆就把人手不足的問題,遮的頭家就共欠工的問題,tsia-ê thâu-ke tō kā khiàm kang ê būn-tê,chia-ê thâu-ke tō kā khiàm kang ê būn-tê
我們應該為此高興「陽世少一人，陰間多一鬼」，,這咱應該歡喜「陽間減一人，陰間加一鬼」，,"tse lán ìng-kai huann-hí “iông-kan kiám tsi̍t lâng, im-kan ke tsi̍t kuí”,","che lán èng-kai hoaⁿ-hí“iông-kan kiám chi̍t lâng,im-kan ke chi̍t kúi”,"
上個月才帶他們去台北玩，,頂個月才𤆬 in去台北𨑨迌爾，,"tíng kò gue̍h tsiah tshuā in khì Tâi-pak tshit-thô niâ,","téng kò goe̍h chiah chhōa in khì Tâi-pak chhit-thô niâ,"
鬧鐘,亂鐘仔,luān-tsing-á,loān-cheng-á
《台文通訊》扮演先鋒者的角色，,《台文通訊》扮演先鋒者的角色，,"“Tâi-bûn thong-sìn” pān-ián sian-hong-tsiá ê kak-sik,","“Tâi-bûn thong-sìn”pān-ián sian-hong-chiá ê kak-sek,"
人長得斯文斯文，,人生做斯文斯文，,"lâng senn tsò su-bûn-su-bûn,","lâng seⁿ chò su-bûn-su-bûn,"
揉糯米糰用的竹筐，,撋粿粞的𥴊模，,"nuá kué-tshè ê kám-bôo,","nóa kóe-chhè ê kám-bô͘,"
放我這個老人在折磨。,放我這个老的咧拖屎連。,pàng guá tsit ê lāu--ê leh thua-sái-liân.,pàng góa chit ê lāu--ê leh thoa-sái-liân.
淑珠走出文鐘家的時候，,淑珠行出文鐘in厝的時，,"Siok-tsu kiânn-tshut Bûn-tsing in tshù ê sî,","Siok-chu kiâⁿ-chhut Bûn-cheng in chhù ê sî,"
第一個蔣總統來臺灣，,第一个蔣總統來臺灣，,"Tē-it ê Tsiúnn tsóng-thóng lâi Tâi-uân,","Tē-it ê Chiúⁿ chóng-thóng lâi Tâi-oân,"
爸爸教我們學游泳的種種，,爸爸教阮學泅水的種種，,"pa-pa kà guán o̍h siû-tsuí ê tsióng-tsióng,","pa-pa kà goán o̍h siû-chúi ê chióng-chióng,"
一般都叫做「炕窯」啦，,一般攏講做「炕窯」啦，,"it-puann lóng kóng-tsò “khòng-iô”--lah,","it-poaⁿ lóng kóng-chò“khòng-iô”--lah,"
暑假週末的時候，,歇熱禮拜的時，,"hioh-jua̍h lé-pài ê sî,","hioh-joa̍h lé-pài ê sî,"
哥哥姊姊出外讀書跟賺錢，,兄姊出外讀冊佮趁錢，,"hiann-tsé tshut-guā tha̍k-tsheh kah thàn-tsînn,","hiaⁿ-ché chhut-gōa tha̍k-chheh kah thàn-chîⁿ,"
「因為我爸沒辦法讓我繼續升學，,「啊就阮阿爸無法度予我繼續讀書，,"“Ah tō gún a-pah bô-huat-tōo hōo guá kè-sio̍k tha̍k-tsir,","“Ah tō gún a-pah bô-hoat-tō͘ hō͘ góa kè-sio̍k tha̍k-chir,"
我才會舉手，,我毋才攑手，,"guá m̄-tsiah gia̍h-tshiú,","góa m̄-chiah gia̍h-chhiú,"
薪水要有競爭力、,薪水愛有競爭力、,"sin-suí ài ū kīng-tsing-li̍k,","sin-súi ài ū kēng-cheng-le̍k,"
天龍人，鄉巴佬,都市倯，庄跤戇,"too-tshī-sông, tsng-kha-gōng","to͘-chhī-sông,chng-kha-gōng"
作者：蕭平治,作者：蕭平治,tsok-tsiá: Siau Pîng-tī,chok-chiá:Siau Pêng-tī
讓從事台語文的同業有自信與光榮感。,予做台語文的同工有自信佮光榮。,hōo tsò Tâi-gí-bûn ê tông-kang ū tsū-sìn kah kong-îng.,hō͘ chò Tâi-gí-bûn ê tông-kang ū chū-sìn kah kong-êng.
阿生決定暑假的時候，,阿生決定歇熱時，,"A-sing kuat-tīng hioh-lua̍h sî,","A-seng koat-tēng hioh-loa̍h sî,"
他大大的眼睛靜靜對著淑珠看三秒鐘，,伊的大蕊目睭恬恬掠淑珠看三秒鐘，,"i ê tuā luí ba̍k-tsiu tiām-tiām lia̍h Siok-tsu khuànn sann bió-tsing,","i ê tōa lúi ba̍k-chiu tiām-tiām lia̍h Siok-chu khòaⁿ saⁿ bió-cheng,"
差不多二十個。有的是外國人，他們是在教英語的。,差不多二十个。有的是外國人，𪜶是咧教英語的。,"Tsha-put-to jī-tsa̍p ê. Ū--ê sī guā-kok-lâng, in sī teh kà Ing-gí--ê.","Chha-put-to jī-cha̍p ê.Ū--ê sī gōa-kok-lâng,in sī teh kà Eng-gí--ê."
唉呀，「老人的經驗談，年輕人要懂珍惜啊」，,乎，「老人毋講古，少年毋捌寶」，,"Honnh, “Lāu-lâng m̄ kóng-kóo, siàu-liân m̄ bat pó”,","Hoⁿh,“Lāu-lâng m̄ kóng-kó͘,siàu-liân m̄ bat pó”,"
好，我去點。,好，我來去點。,"Hó, guá lâi-khì tiám.","Hó,góa lâi-khì tiám."
這些老闆就把人力不足的問題,tsi35-tsuai35頭家就共欠工的問題,tsi35-tsuai35 thâu-ke tiō kā khiàm kang ê būn-tuê,tsi35-tsuai35 thâu-ke tiō kā khiàm kang ê būn-tôe
對台語文學的內涵與形式來做評價。,對台語文學的內涵佮形式來做評價。,tuì Tâi-gú bûn-ha̍k ê luē-hâm kap hîng-sik lâi tsò phîng-kè.,tùi Tâi-gú bûn-ha̍k ê lōe-hâm kap hêng-sek lâi chò phêng-kè.
因此我們的台語文作品應該繼續加強、升級。,所擺咱的台語文作品著愛繼續加強、升級。,"Sóo-pái lán ê Tâi-gí-bûn tsok-phín to̍h-ài kè-sio̍k ka-kiông, sing-kip.","Só͘-pái lán ê Tâi-gí-bûn chok-phín to̍h-ài kè-sio̍k ka-kiông,seng-kip."
順便繞到和上星期一樣在永樂布市，,順紲斡去共頂禮拜仝佇永樂布市，,"Sūn-suà uat-khì kā tíng lé-pài kâng tī Íng-lo̍k pòo-tshī,","Sūn-sòa oat-khì kā téng lé-pài kâng tī Éng-lo̍k pò͘-chhī,"
我們崁頂的社區里長、理事長，,阮崁頂的社區里長、理事長，,"guán Khàm-tíng ê siā-khu lí-tiúnn, lí-sū-tiúnn,","goán Khàm-téng ê siā-khu lí-tiúⁿ,lí-sū-tiúⁿ,"
窯，早就疊好了，,窯，早就疊好勢，,"iô, tsá tio̍h tha̍h hó-sè,","iô,chá tio̍h tha̍h hó-sè,"
互相檢討以求進步。,互相落氣求進步。,hōo-siong làu-khuì kiû tsìn-pōo.,hō͘-siong làu-khùi kiû chìn-pō͘.
依我看，,我看，,"Guá khuànn,","Góa khòaⁿ,"
差不多二十個。有的是外國人，他們是在教英語的。,差不多二十个。有的是外國人，𪜶是咧教英語的。,"Tsha-put-to jī-tsa̍p ê. Ū--ê sī guā-kok-lâng, in sī teh kà Ing-gí--ê.","Chha-put-to jī-cha̍p ê.Ū--ê sī gōa-kok-lâng,in sī teh kà Eng-gí--ê."
誰知道，新的蔣總統要登基，,呔會知，新的蔣總統欲登基，,"thài ē tsai, sin ê Tsiúnn tsóng-thóng beh ting-ki,","thài ē chai,sin ê Chiúⁿ chóng-thóng beh teng-ki,"
書裡有的，,冊裡有的，,"tsheh--lí ū--ê,","chheh--lí ū--ê,"
進行一次城鄉交流教學活動，,做一擺城鄉交流教學活動，,"tsò tsi̍t pái siânn-hiong kau-liû kàu-ha̍k ua̍h-tāng,","chò chi̍t pái siâⁿ-hiong kau-liû kàu-ha̍k oa̍h-tāng,"
這樣的人，我們有必要紀念他嗎？,這款的人，咱敢著共紀念--呢？,"tsit khuán ê lâng, lán kám tio̍h kā kì-liām--neh?","chit khoán ê lâng,lán kám tio̍h kā kì-liām--neh?"
什麼叫做笨，,啥物是戇，,"siánn-mih sī gōng,","siáⁿ-mih sī gōng,"
不過在移民之前的土著台灣人，,毋過佇移民進前的土著台灣人，,"m̄-koh tī î-bîn tsìn-tsîng ê thóo-tù Tâi-uân-lâng,","m̄-koh tī î-bîn chìn-chêng ê thó͘-tù Tâi-oân-lâng,"
入學之前，,入學進前，,"ji̍p-o̍h tsìn-tsîng,","ji̍p-o̍h chìn-chêng,"
畢業典禮前一個月，有一天，,畢業典禮的一個月前，有一工，,"Pit-gia̍p tián-lé ê tsi̍t kò gue̍h tsîng, ū tsi̍t kang,","Pit-gia̍p tián-lé ê chi̍t kò goe̍h chêng,ū chi̍t kang,"
是在祭拜孤魂幫他們普渡。,是咧孝（拜）孤魂共普渡。,sī leh hàu ( pài ) koo-hûn kā phóo-tōo.,sī leh hàu(pài)ko͘-hûn kā phó͘-tō͘.
他們這裡有紅燒魚嗎？,𪜶遮有紅燒魚無？,In tsia ū âng-sio-hî--bô?,In chia ū âng-sio-hî--bô?
認真研究臺語文，,認真研究臺語文，,"jīn-tsin gián-kiù Tâi-gí-bûn,","jīn-chin gián-kiù Tâi-gí-bûn,"
也是不可或缺。,總是嘛袂當無。,tsóng--sī mā bē-tàng bô.,chóng--sī mā bē-tàng bô.
作者：邱文錫,作者：邱文錫,tsok-tsiá: Khu Bûn-sik,chok-chiá:Khu Bûn-sek
喚醒母語意識之後，,喚醒母語意識了後，,"huàn tshénn bó-gí ì-sik liáu-āu,","hoàn chhéⁿ bó-gí ì-sek liáu-āu,"
他身上的制服已經換掉，,伊身軀頂的制服已經換掉，,"i sin-khu-tíng ê tsè-ho̍k í-king uānn-tiāu,","i sin-khu-téng ê chè-ho̍k í-keng ōaⁿ-tiāu,"
不過針對要如何改善運動本身的檢討，,毋過針對運動本身欲按怎閣較進步的檢討，,"m̄-koh tsiam-tuì ūn-tōng pún-sin beh án-tsuánn koh-khah tsìn-pōo ê kiám-thó,","m̄-koh chiam-tùi ūn-tōng pún-sin beh án-chóaⁿ koh-khah chìn-pō͘ ê kiám-thó,"
