中文,台文,台羅
朱立倫疑涉弊蔡英文呼籲說清楚。中國國民黨新北市長參選人朱立倫，被週刊踢爆疑似涉及弊案，朱立倫在桃園縣長任內的老學校重建工程，被懷疑有圖利廠商的嫌疑，十三日朱立倫的對手蔡英文，要朱立倫自己把話講清楚，也強調這不是民進黨的烏賊戰，而且這是一個公眾議題。,朱立倫疑涉弊蔡英文呼籲講清楚。中國國民黨新北市長參選人朱立倫，被週刊踢曝疑似沐著弊案，朱立倫佇桃園縣長任內的舊學校重建工程，被懷疑有圖利廠商的嫌疑，十三號朱立倫的對手蔡英文，愛朱立倫家己共話講清楚，⿳⿳ㄨㄢˊ也強調這毋是民進黨的墨賊戰，而且這是一个公眾議題。,tsu-li̍p-lûn gî-sia̍p-pè tshuà-ing-bûn hoo-io̍k kóng-tshing-tshó. tiong-kok-kok-bîn-tóng sin-pak-tshī-tiúnn tsham-suán-jîn tsu-li̍p-lûn，pī tsiu-khan that-pho̍k gî-sū bak-tio̍h pè-àn，tsu-li̍p-lûn tī thô-hn̂g-kuān-tiúnn jīm-lāi-ê kū-ha̍k-hāu tiông-kiàn-kang-tîng，pī-huâi-gî ū tôo-lī-tshiúnn-siong ê hiâm-gî，tsa̍p-sann-hō tsu-li̍p-lûn ê tuì-tshiú tshuà-ing-bûn，ài tsu-li̍p-lûn ka-kī kā-uē-kóng-tshing-tshó，uân-ā-kiông-tiāu tsit-m̄-sī bîn-tsìn-tóng ê ba̍k-tsa̍t-tsiàn，jî-tshiánn tsit-sī tsi̍t-ê kong-tsiòng-gī-tuê。
民進黨新北市長參選人蔡英文母雞帶小雞，親自替黨內市議員參選人戴上揹帶，要搶攻新北市人口最多的大票倉板橋。,民進黨新北市長參選人蔡英文雞母娶雞仔囝，親自替黨內市議員參選人掛著揹蹛，欲搶攻新北市人口上濟的大票倉板橋。,bîn-tsìn-tóng sin-pak-tshī-tiúnn tsham-suán-jîn tshuà-ing-bûn kue-bú-tshuā-kue-á-kiánn，tshin-tsū thè tóng-lāi tshī-gī-uân tsham-suán-jîn kuà-tio̍h phāinn-tuà，beh tshiúnn-kong sin-pak-tshī jîn-kháu siāng-tsē-ê tuā-phiò-tshng pang-kiô。
蔡英文也想要問朱立倫，已經完工的捷運蘆洲線，為什麼遲遲無法通車。,蔡英文⿳⿳ㄨㄢˊ也欲愛問朱立倫，已經完工的捷運蘆洲線，為啥物遲遲無法通車。,tshuà-ing-bûn uân-ā-beh-ài-mn̄g tsu-li̍p-lûn，í-king uân-kang-ê tsia̍t-ūn lôo-tsiu-suànn，uī-siánn-mi̍h tî-tî bô-huat-thong-tshia。
求男丁來一雙二千五百斤油飯還願。廟口前面出現週年慶那般長長的排隊人潮，到底是為了什麼？,求男丁來一雙兩千五百斤油飯還願。廟口頭前出現週年慶彼搬長長的排隊人雕，到底是為著啥物？,kiû lâm-ting lâi-tsi̍t-siang nn̄g-tshing-gōo-pah-kin iû-pn̄g hîng-guān. biō-kháu thâu-tsîng tshut-hiān tsiu-nî-khìng he-puann tn̂g-tn̂g-ê pâi-tuī-jîn-tiau，tàu-té-sī uī-tio̍h siánn-mih？
一探究竟才知道，原來有一對夫妻想要添男丁，卻遲遲無法如願，想不到來到台南縣新營市太子宮許願後，一舉生下雙胞胎男孩，為了還願特地準備兩千五百斤油飯，回到太子宮還願。,一探究竟才知影，原來有一對夫妻想欲添男丁，煞遲遲無法如願，想袂到來到臺南縣新營市太子宮下願後，一氣生落雙生仔查埔囡仔，為著還願專工準備兩千五百斤油飯，回到汰子宮還願。,it-thàm-kiù-kìng tsiah-tsai-iánn，guân-lâi-ū tsi̍t-tuì hu-tshe siūnn-beh thiam-lâm-ting，suah-tî-tî bô-huat-jû-guān，siūnn-bē-kàu lâi-kàu tâi-lâm-kuān sin-iânn-tshī thài-tsú-kiong hē-guān-āu，tsi̍t-khuì-senn-lo̍h siang-senn-á tsa-poo-gín-á，uī-tio̍h hîng-guān tsuan-kang tsún-pī nn̄g-tshing gōo-pah-kin iû-pn̄g，huê-kàu thài-tsú-kiong hîng-guān。
原來是遠從桃園來的王先生，一直希望再添男丁傳宗接代，試了各種的方法，就在來到新營市太子宮許願之後，太太也順利懷孕，生下健康的雙胞胎男孩，讓他一圓美夢。,原來是遠路對桃園來的王先生，一直希望閣添男丁傳香火，試了各種的方法，都佇來到新營市太子宮下願了後，牽手⿳⿳ㄨㄢˊ也順序有身，生落健康的雙生仔查埔囡仔，雨衣一員美夢。,guân-lâi-sī hn̄g-lōo-tuì thô-hn̂g lâi-ê ông-sin-senn，it-ti̍t-hi-bāng koh-thiam lâm-ting thuân-hiunn-hué，tshì-liáu kok-tsióng-ê hong-huat，to-tī-lâi-kàu sin-iânn-tshī thài-tsú-kiong hē-guān-liáu-āu，khan-tshiú uân-ā-sūn-sū ū-sin，senn-lo̍h kiān-khong-ê siang-senn-á tsa-poo-gín-á，hōo-i it-uân-bí-bāng。
立委指控高雄地檢恐嚇強索資料。民進黨立法院黨團在十五日上午召開記者會，質疑中國國民黨的大高雄市長候選人黃昭順，針對九一九颱風高雄市淹水，控告高雄市市長陳菊瀆職之後，高雄地方法院地檢署王姓檢察官，竟然馬上就有偵辦案件動作，而且藉著函調為名義，實際是恐嚇市政府公務員強索資料，違反刑事訴訟法規定，民進黨立委痛批，高雄地方法院地檢署介入選舉的行為，運用司法幫助中國國民黨的候選人，明顯違反偵查程序。,立委指控高雄地減恐喝硬討資料。民進黨立法院黨團佇十五號早起召開記者會，質疑中國國民黨的大高雄市長候選人黃昭順，針對九一九風颱高雄市淹水，控告高雄市市長陳菊瀆職了後，高雄地方法院地檢署姓王檢察官，竟然馬上都有偵辦案件動作，而且借著和雕做名義，實際是恐喝市政府公務員硬討資料，違反刑事訴訟法規定，民進黨立委痛批，高雄地方法院地檢署介入選舉的行為，運用司法幫助中國國民黨的候選人，明顯違反偵查程序。,li̍p-uí tsí-khòng ko-hiông tuē-kiám khióng-hat ngē-thó tsu-liāu. bîn-tsìn-tóng li̍p-huat-īnn-tóng-thuân tī tsa̍p-gōo-hō tsá-khí tiàu-khai kì-tsiá-huē，tsit-gî tiong-kok-kok-bîn-tóng ê tuā-ko-hiông-tshī-tiúnn hāu-suán-jîn n̂g-tsiau-sūn，tsiam-tuì kiú-it-kiú hong-thai ko-hiông-tshī im-tsuí，khòng-kò ko-hiông-tshī-tshī-tiúnn tân-kiok to̍k-tsit liáu-āu，ko-hiông-tuē-hong-huat-īnn tuē-kiám-sú sènn-ông kiám-tshat-kuann，kìng-jiân má-siōng to-ū tsing-pān àn-kiānn tōng-tsok，jî-tshiánn tsioh-tio̍h hâm-tiau tsò-miâ-gī，si̍t-tsè-sī khióng-hat tshī-tsìng-hú kong-bū-uân ngē-thó tsu-liāu，uî-huán hîng-sū-sòo-siōng-huat kui-tīng，bîn-tsìn-tóng li̍p-uí thòng-phue，ko-hiông-tuē-hong-huat-īnn tuē-kiám-sú kài-ji̍p suán-kí-ê hîng-uî，ūn-iōng su-huat pang-tsōo tiong-kok-kok-bîn-tóng ê hāu-suán-jîn，bîng-hián uî-huán tsing-tsa-tîng-sū。
汽車暴衝加油島起火燒燬機車。南投縣草屯鎮碧山路一家加油站，十五日上午發生轎車衝撞加油島的意外，一名男子到加油站洗完車之後，突然加速往前衝撞加油島，加油機被撞倒之後隨即起火燃燒，一旁正在加油的機車遭到波及燒燬，還撞傷一名加油站員工。,汽車暴衝加油島著火燒燬⿰オ－ト⿰バイ。南投縣草屯鎮碧山路一間加油站，十五號早起發生轎車充挵加油島的意外，一名查埔到加油站洗完車了後，突然加速往前充挵加油島，加油機被挵倒了後綴尾就著火燒，一爿拄佇咧加油的⿰オ－ト⿰バイ拄著牽拖燒燬，猶挵著傷一名加油站員工。,khì-tshia pō-tshiong ka-iû-tó tio̍h-hué sio-huí 1oo7-1too1-1bai2. lâm-tâu-kuān tsháu-tùn-tìn phik-suann-lōo tsi̍t-king ka-iû-tsām，tsa̍p-gōo-hō tsá-khí huat-sing kiāu-tshia tshiong-lòng ka-iû-tó ê ì-guā，tsi̍t-miâ tsa-poo kàu ka-iû-tsām sé-uân-tshia liáu-āu，tu̍t-jiân ka-sok óng-tsîng tshiong-lòng ka-iû-tó，ka-iû-ki pī-lòng-tó liáu-āu tuè-bué-tsiū tio̍h-hué-sio，tsi̍t-pîng tú-tī-leh ka-iû-ê 1oo7-1too1-1bai2 tú-tio̍h khan-thua sio-huí，iáu-lòng-tio̍h-siong tsi̍t-miâ ka-iû-tsām uân-kang。
加油機被轎車衝倒之後，底下的油管瞬間起火燃燒，火燄高達三公尺，加油站員工和肇事車主，趕緊拿滅火器滅火，還是無法撲滅火勢，真正肇事原因還要待警方調查。,加油機被轎車挵倒了後，下跤的油講瞬間著火燒，火燄懸到三公尺，加油站員工佮惹代誌車主，趕緊提拍火氣拍火，猶是無法撲滅火勢，真正惹代誌原因猶愛等警方調查。,ka-iû-ki pī kiāu-tshia lòng-tó-liáu-āu，ē-kha-ê iû-kóng sùn-kan tio̍h-hué-sio，hué-iām kuân-kàu sann-kong-tshioh，ka-iû-tsām uân-kang kap jiá-tāi-tsì tshia-tsú，kuánn-kín-the̍h phah-hué-khì phah-hué，iáu-sī bô-huat phok-bia̍t hué-sì，tsin-tsiànn jiá-tāi-tsì guân-in iáu-ài-tán kíng-hong tiau-tsa。
銅門登山二十一人受困平安獲救。十七日在花蓮縣的銅門山區，傳出有登山團體因為大雨受困山區，警方獲報立刻組隊上山營救，並且在晚間八點半左右，順利將受困的團體接送下山，幸好只有幾名團員受到輕傷，一切都還是平安算是不幸中的大幸。,銅門登山二十一人受困平安獲救。十七號佇花蓮縣的銅門山區，傳出有登山團體因為大雨受困山區，警方獲報隨租隊上山閒救，並且佇暗時八點半左右，順利共受困的團體接送落山，好佳哉干焦有幾名團員受著輕傷，一切攏猶是平安算是不幸中的大幸。,tâng-mn̂g ting-suann jī-tsa̍p-it-lâng siū-khùn pîng-an hi̍k-kiù. tsa̍p-tshit-hō tī hue-liân-kuān ê tâng-mn̂g suann-khu，thuân-tshut-ū ting-suann-thuân-thé in-uī tuā-hōo siū-khùn suann-khu，kíng-hong hi̍k-pò suî-tsoo-tuī tsiūnn-suann îng-kiù，pīng-tshiánn-tī àm-sî peh-tiám-puànn tsó-iū，sūn-lī-kā siū-khùn-ê thuân-thé tsiap-sàng lo̍h-suann，hó-kai-tsài kan-ta-ū kuí-miâ thuân-uân siū-tio̍h khin-siong，it-tshè lóng-iáu-sī pîng-an sǹg-sī put-hīng-tiong-ê-tāi-hīng。
這團二十一人登山隊伍來自中壢，十六日由南投縣仁愛鄉進入奇萊山區，但是晚間遇到大雨而且道路中斷，團員失溫以及缺糧斷水的情況下，只好向外求援，雖然有幾名團員受到輕微外傷，還好毫無大礙平安獲救。,這團二十一人登山隊伍來自中壢，十六號對南投縣仁愛鄉進入其來山區，毋過暗時拄著大雨而且車路中斷，團員失溫以及闕量斷水的情況下，只好向外求援，雖然有幾名團員受著小可外傷，好佳哉攏無大礙平安獲救。,tsit-thuân jī-tsa̍p-it-lâng ting-suann-tuī-ngóo lâi-tsū tiong-li̍k，tsa̍p-la̍k-hō tuì lâm-tâu-kuān jîn-ài-hiong tsìn-ji̍p kî-lâi suann-khu，m̄-koh àm-sî tú-tio̍h tuā-hōo jî-tshiánn tshia-lōo-tiong-tuān，thuân-uân sit-un í-ki̍p khuat-niû-tuān-tsuí ê tsîng-hóng-hā，tsí-hó hiòng-guā kiû-uān，sui-jiân-ū kuí-miâ thuân-uân siū-tio̍h sió-khuá guā-siong，hó-kai-tsài lóng-bô-tuā-gāi pîng-an-hi̍k-kiù。
工程界相挺蔡英文情勢不錯。民進黨的新北市長參選人蔡英文，十七日晚上成立工程界後援會，學校活動中心擠進上千人，晚會活動的場面相當熱烈，蔡英文當著工程界的面前，批評馬英九的政府不尊重專業，她雖然沒明講自己跟對手的民調差距，但是以「情勢不錯」來形容選情看好。,工程界相挺蔡英文辦勢袂䆀。民進黨的新北市長參選人蔡英文，十七號暗時成立工程界予援會，學校活動中心櫼入上千人，暗會活動的場面相當熱烈，蔡英文當著工程界的面前，批評買坱九的政府無尊重專業，伊雖然無明講家己佮對手的民調差距，毋過用「範勢袂䆀」來形容選情看好。,kang-tîng-kài sio-thíng tshuà-ing-bûn pān-sì-bē-bái. bîn-tsìn-tóng ê sin-pak-tshī-tiúnn tsham-suán-jîn tshuà-ing-bûn，tsa̍p-tshit-hō àm-sî sîng-li̍p kang-tîng-kài hōo-uān-huē，ha̍k-hāu ua̍h-tāng-tiong-sim tsinn-ji̍p tsiūnn-tshing-lâng，àm-huē ua̍h-tāng-ê tiûnn-bīn siang-tong-jia̍t-lia̍t，tshuà-ing-bûn tng-tio̍h kang-tîng-kài ê bīn-tsîng，phue-phîng bé-ing-kiú ê tsìng-hú bô-tsun-tiōng tsuan-gia̍p，i-sui-jiân bô-bîng-kóng ka-kī kap tuì-tshiú-ê bîn-tiau tsha-kū，m̄-koh īng「pān-sè-bē-bái」lâi-hîng-iông suán-tsîng-khuànn-hó。
蔡英文在晚會表示，工程技師後援會在民進黨最困難的時候，仍舊一路相挺，這跟過去民進黨執政，不論是在中央政府或是地方政府，能夠就事論事，在政策制定與執行上相信專業，充分尊重專家的意見有關。,蔡英文佇暗會表示，工程技師予援會佇民進黨上困難的時陣，猶原一路相挺，這敆過去民進黨執政，無論是佇中央政府抑是地風政府，會通就事論事，佇政策制定和執形象相信專業，充份尊重專家的意見有關。,tshuà-ing-bûn tī-àm-huē piáu-sī，kang-tîng-ki-su hōo-uān-huē tī bîn-tsìn-tóng siāng-khùn-lân-ê sî-tsūn，iu-guân it-lōo-sio-thíng，tsit-kap-kuè-khì bîn-tsìn-tóng tsip-tsìng，bô-lūn-sī-tī tiong-iang-tsìng-hú ah-sī tuē-hong tsìng-hú，ē-thang tsiū-sū-lūn-sū，tī tsìng-tshik tsè-tīng hâm tsip-hîng-siāng siang-sìn tsuan-gia̍p，tshiong-hūn tsun-tiōng tsuan-ka-ê ì-kiàn ū-kuan。
快遞公司當幌子警方破獲販毒集團。台北縣刑警大隊在十六日凌晨，破獲一個販毒的集團，當場抄出市價近千萬的安非他命，還有海洛因等毒品，被逮捕的九名嫌犯為了躲避警方查緝，特別成立一家「快遞公司」作為掩護，強調二十四小時服務，不過送的貨物全都是一級到四級的毒品。,快遞公司做炙殊警方破獲販毒集團。臺北縣刑警大隊佇十六號天欲光，破獲一个販毒的集團，當場抄出市價市價倚千萬的四號仔，猶有海鹿坱頂毒品，被掠的九名嫌犯為著閃避警方查緝，特別成立一間「快遞公司」作為掩護，強調二十四點鐘服務，不過送的貨物全攏是一級到四級的毒品。,khuài-tē-kong-si tsò-tsià-sû kíng-hong phò-hi̍k huàn-to̍k-tsi̍p-thuân. tâi-pak-kuān hîng-kíng-tuā-tuī tī tsa̍p-la̍k-hō thinn-beh-kng，phò-hi̍k tsi̍t-ê huàn-to̍k-ê tsi̍p-thuân，tong-tiûnn tshiau-tshut tshī-kè tshī-kè uá-tshing-bān-ê sì-hō-á，iáu-ū hái-lo̍k-ing tíng to̍k-phín，pī-lia̍h-ê káu-miâ hiâm-huān uī-tio̍h siám-phiah kíng-hong tsa-tsip，ti̍k-pia̍t sîng-li̍p tsi̍t-king「khuài-tē-kong-si」tsok-uî iám-hōo，kiông-tiāu jī-tsa̍p-sì-tiám-tsing ho̍k-bū，put-kò sàng-ê huè-bu̍t tsuân-lóng-sī it-kip kàu sì-kip ê to̍k-phín。
販毒集團利用快遞公司運送這些毒品，還順便替酒店的客人外送喝酒小菜，販毒網絡涵蓋大台北、桃園地區，台北縣警方表示將擴大偵辦。,販毒集團利用快遞公司運送遮的毒品，猶順紲替酒店的人客外送啉酒小菜，販毒網路涵蓋大臺北、桃園地區，臺北縣警方表示欲擴大偵辦。,huàn-to̍k-tsi̍p-thuân lī-iōng khuài-tē-kong-si ūn-sàng tsia-ê to̍k-phín，iáu-sūn-suà-thè tsiú-tiàm-ê lâng-kheh guā-sàng lim-tsiú-sió-tshài，huàn-to̍k bāng-lōo hâm-kài tuā-tâi-pak、thô-hn̂g-tuē-khu，tâi-pak-kuān kíng-hong piáu-sī beh-khok-tuā tsing-pān。
中研院職員宿舍竊案兩嫌落網。台北市南港警察分局晚間破獲竊盜案件，被逮捕的兩名嫌犯，潛入中央研究院的職員宿舍，偷走四萬多元現金和一台筆記型電腦。,中研院職員宿舍竊案兩嫌落網。臺北市南港警察分局暗時破獲竊盜案件，被掠的兩名嫌犯，覕入去中央研究院的職員宿舍，偷走四萬外箍現金佮一台筆記型電腦。,tiong-gián-īnn tsit-uân-siok-sià tshiap-àn nn̄g-hiâm lo̍h-bāng. tâi-pak-tshī lâm-káng-kíng-tshat-hun-kio̍k àm-sî phò-hi̍k tshiap-tō-àn-kiānn，pī-lia̍h-ê nn̄g-miâ hiâm-huān，bih-ji̍p-khì tiong-iang-gián-kiù-īnn ê tsit-uân-siok-sià，thau-tsáu sì-bān-guā-khoo hiān-kim kap tsi̍t-tâi pit-kì-hîng-tiān-náu。
警方調閱監視器畫面，發現嫌犯每次在做案前，除了觀察四周圍的地形，還會先按門鈴，確定屋主不在家，再下手行竊，警方循著線索逮捕到兩人以後，依照竊盜罪移送士林地方法院偵辦。,警方調閱監視器畫面，發現嫌犯每擺佇做案情，除了觀察四箍圍的地形，猶會先揤電鈴，確定厝主無佇厝裡，閣落手偷提，警方循著線索掠著兩人以後，按照竊盜罪移送士林地方法院偵辦。,kíng-hong tiàu-ua̍t kàm-sī-khì-uē-bīn，huat-hiān hiâm-huān muí-pái-tī tsuè-àn-tsîng，tî-liáu kuan-tshat sì-khoo-uî ê tuē-hîng，iáu-ē sian-ji̍h-tiān-lîng，khak-tīng tshù-tsú bô-tī-tshù-0lí，koh-lo̍h-tshiú thau-the̍h，kíng-hong sûn-tio̍h suànn-soh lia̍h-tio̍h nn̄g-lâng í-āu，àn-tsiàu tshiap-tō-tsuē î-sàng sū-lîm-tē-hong-huat-īnn tsing-pān。
豪雨還上山溯溪搜救浪費社會資源。宜蘭與花蓮地區連日的豪雨，造成各地溪水暴漲，十六日花蓮縣有一名教練，為了救溯溪受困的民眾意外摔死，隔天宜蘭也發生遊客受困山區的情況，宜蘭縣消防局局長徐金山就說，這些人明明知道颱風天危險還上山，氣象局都已經發布豪雨特報，溯溪業者還帶著遊客冒險上山，負責救援的義消人員看了頻頻搖頭，明明知道下雨之後溪水就會暴漲，民眾還要前往山區旅遊，使得消防人員疲於奔命，根本是浪費社會資源。,大水雨猶上山束溪搜救浪費社會資源。宜蘭和花蓮地區連日的大水雨，造成各地溪水暴漲，十六號花蓮縣有一名教練，為著救束詼受困的民眾意外摔死，隔日宜蘭⿳⿳ㄨㄢˊ也發生遊客受困山區的情況，宜蘭縣消防局局長徐金山都講，遮的人名其知風颱天危險猶上山，氣象局攏已經發布大水予特報，塑詼業者猶𤆬著遊客冒險上山，負責救援的義消人員看了孜孜幌頭，名其知落雨了後溪水都會暴漲，民眾猶欲前往山區旅遊，予得消防人員忝頭奔命，根本是浪費社會資源。,tuā-tsuí-hōo iáu-tsiūnn-suann sok-khue soo-kiù lōng-huì siā-huē-tsu-guân. gî-lân hâm hua-lian-tuē-khu liân-ji̍t-ê tuā-tsuí-hōo，tsō-sîng kok-tuē khue-tsuí-pō-tiòng，tsa̍p-la̍k-hō hua-lian-kuān ū-tsi̍t-miâ kàu-liān，uī-tio̍h-kiù sok-khue siū-khùn-ê bîn-tsiòng ì-guā siak-sí，keh-ji̍t gî-lân uân-ā-huat-sing iû-kheh siū-khùn suann-khu-ê tsîng-hóng，gî-lân-kuān siau-hông-kio̍k-kio̍k-tiúnn tshî-kim-san to-kóng，tsia-ê-lâng bîng-kî-tsai hong-thai-thinn huî-hiám iáu-tsiūnn-suann，khì-siōng-kio̍k lóng-í-king huat-pòo tuā-tsuí-hōo-ti̍k-pò，sok-khue-gia̍p-tsiá iáu-tshuā-tio̍h iû-kheh mōo-hiám tsiūnn-suann，hū-tsik kiù-uān-ê gī-siau-jîn-uân khuànn-liáu tsu-tsu-hàinn-thâu，bîng-kî-tsai lo̍h-hōo-liáu-āu khue-tsuí to-ē pō-tiòng，bîn-tsiòng iáu-beh tsiân-óng suann-khu lú-iû，hōo-tit siau-hông-jîn-uân thiám-thâu-phun-bīng，kin-pún-sī lōng-huì siā-huē-tsu-guân。
