台文,台羅,中文
布幼仔抾倚來，會使車做桌布。,"Pòo-iù-á khioh-uá--lâi, ē-sái tshia tsò toh-pòo. ",碎布收集起來，可以車成抹布。
山頂一蕊花，毋值平洋一枝草。,"Suann-tíng tsi̍t luí hue, m̄ ta̍t pênn-iûnn tsi̍t ki tsháu. ",山上的一朵花，比不上平地的一根草。俗語，比喻人懷才不遇。
伊賣的貨，正範假範相濫，你毋通予伊唬去。,"I bē ê huè, tsiànn-pān ké-pān sio-lām, lí m̄-thang hōo i hóo--khì. ",他賣的貨，真品贗品相混，你別讓他騙了。
伊是正範的博士。,I sī tsiànn-pān ê phok-sū. ,他是真正的博士。
伊的話講了較正範。,I ê uē kóng liáu khah tsiànn-pān. ,他的話說得比較合理像樣。
伊生本就無愛佮人嘻嘻嘩嘩。,I senn-pún tō bô ài kah lâng hi-hi-huā-huā. ,他天生就不愛跟人嬉鬧。
禮數生本就愛按呢。,Lé-sòo senn-pún tō ài án-ne. ,禮節本來就應該如此。
伊走甲傷生真，煞跋倒。,"I tsáu kah siunn tshenn-tsin, suah pua̍h-tó. ",他跑得太慌張，竟然跌倒。
這个囡仔真好生張。,Tsit ê gín-á tsin hó senn-tiunn. ,這個小孩外型、個性都好。
一歲生張，百歲牢老。,"Tsi̍t huè senn-tiunn, pah huè tiâu-lāu. ",小時候養成的習性，到了年老都不容易改變。俗語，性癖自幼養成，及長難改，幼教重要。
你按呢生頭凊面大聲嚷是咧創啥物？,Lí án-ne tshenn-thâu tshìn-bīn tuā-siann jiáng sī teh tshòng siánn-mih? ,你這樣生氣地大聲叫罵是在幹什麼？
伊都咧受氣矣，你閣刁工剾洗伊，有夠白目！,"I to teh siūnn-khì--ah, lí koh thiau-kang khau-sé--i, ū-kàu pe̍h-ba̍k! ",他已經在生氣了，你還故意挖苦他，真是太不識相了！
囡仔人毋通遐白目。,Gín-á-lâng m̄-thang hiah pe̍h-ba̍k. ,小孩子不要那麼淘氣。
拚白虎湯,piànn pe̍h-hóo-thng,病入膏肓時，孤注一擲地拼最後一帖猛藥。也比喻採取激烈手段來試圖挽救情勢
白菜滷是阮大家的手路菜，阮兜逐家攏真愛食。,"Pe̍h-tshài-lóo sī guán ta-ke ê tshiú-lōo-tshài, guán tau ta̍k-ke lóng tsin ài tsia̍h. ",滷白菜是我婆婆的拿手菜，我家每個人都很愛吃。
毋通看人好額就目空赤。,M̄-thang khuànn lâng hó-gia̍h tō ba̍k-khang-tshiah. ,不可以看人家有錢就心生嫉妒。
𪜶老母佮𪜶某袂合，伊做石磨仔心，毋知欲按怎才好。,"In lāu-bú kah in bóo bē ha̍h, i tsò tsio̍h-bō-á-sim, m̄ tsai beh án-tsuánn tsiah hó. ",他母親和他妻子不合，他左右為難，不知如何是好。
伊拄仔交落身，著愛好好仔侹身體。,"I tú-á ka-la̍uh-sin, tio̍h-ài hó-hó-á thiānn sin-thé. ",她剛剛流產，應該要好好地補養身子。
伊真交繃，正經叫伊主意伊閣毋敢。,"I tsin kau-penn, tsìng-king kiò i tsú-ì i koh m̄ kánn. ",他很愛挑剔、唱反調，當真要他做主他又不敢。
頂日仔阮捌得失伊，伊毋才定定來咧交繃。,"Tíng-ji̍t-á guán bat tik-sit--i, i m̄-tsiah tiānn-tiānn lâi teh kau-penn. ",前些日子我們曾經得罪他，因此他才常常來找麻煩。
起交繃,khí kau-penn,起糾紛、因不滿而抗拒
死都死囉！毋通閣來交纏。,Sí to sí--looh! M̄-thang koh lâi kau-tînn. ,死都死了，不要再來糾纏。
查某人做月內的時，若無細膩著著月內風，是會交纏一世人喔！,"Tsa-bóo-lâng tsò-gue̍h-lāi ê sî, nā bô sè-jī tio̍h-tio̍h gue̍h-lāi-hong, sī ē kau-tînn tsi̍t-sì-lâng--ooh! ",女人坐月子的時候，要是不小心患上月子病，是會糾纏一輩子喔！
代誌誠交纏。,Tāi-tsì tsiânn kau-tînn. ,事情很複雜。
我做毋著，合該愛罰。,"Guá tsò m̄-tio̍h, ha̍p-kai ài hua̍t. ",我做錯了，應該要處罰。
伊是𪜶彼班的囡仔頭王。,I sī in hit pan ê gín-á-thâu-ông. ,他是他們那一班的孩子王。
未嫁娶以前，攏是在室的。,"Buē kè-tshuā í-tsîng, lóng sī tsāi-sik--ê. ",還沒嫁娶之前，都是沒有性經驗的。
月暗暝行路，有人陪伴，就較在膽。,"Gue̍h-àm-mê kiânn-lōo, ū lâng puê-phuānn, tō khah tsāi-tánn. ",沒有月光的夜晚走路，有人相陪作伴，膽子就比較大。
菝仔在欉的，誠脆當甜。,"Pua̍t-á tsāi-tsâng--ê, tsiânn tshè tng tinn. ",番石榴新鮮剛採收的，又脆又甜。
開地陷,khui tē-hām,挖掘土穴
跋落地陷,pua̍h lo̍h tē-hām,跌落陷阱之中
好時好日,hó-sî-hó-ji̍t,良辰吉日
今仔日誠好日，幾若口灶咧嫁娶。,"Kin-á-ji̍t tsiânn hó-ji̍t, kuí-nā kháu-tsàu teh kè-tshuā. ",今天是個好日子，好幾戶人家在辦喜事。
做好代才會出好囝孫。,Tsò hó-tāi tsiah ē tshut hó kiánn-sun. ,做善事才會有好的後代子孫。
這是好代，趕緊講予眾人知。,"Tse sī hó-tāi, kuánn-kín kóng hōo tsìng-lâng tsai. ",這是好消息事，趕快說給大家知道。
囡仔人攏真好玄。,Gín-á-lâng lóng tsin hònn-hiân. ,小孩子都很好奇。
頭家，豬肉較好份的切一塊予我。,"Thâu-ke, ti-bah khah hó-hūn--ê tshiat tsi̍t tè hōo--guá. ",老板，豬肉較好的部份切一塊給我。
伊上班時間走出去摸飛，好死毋死去予頭家㨑著。,"I siōng-pan sî-kan tsáu tshut-khì moo-hui, hó-sí-m̄-sí khì hōo thâu-ke tsang--tio̍h. ",他上班時間跑出去摸魚，好死不死的給老板逮個正著。
穿較鮮沢咧較好看頭。,Tshīng khah tshinn-tshioh--leh khah hó-khuànn-thâu. ,穿得時髦一點比較上相。
這塑膠做的好看頭爾爾，用無偌久就害去矣。,"Tse sok-ka tsò--ê hó-khuànn-thâu niā-niā, īng bô-guā-kú tō hāi--khì--ah. ",這是塑膠做的好看而已，不耐用，用沒多久就壞了。
親情條直好唯是，聘金濟少由在伊。,"Tshin-tsiânn tiâu-ti̍t hó-bî-sī, phìng-kim tsē-tsió iû-tsāi--i. ",婚事坦率乾脆就很好，聘金多少任由他。
仝字勻,kāng jī-ûn,輩份相同
𪜶家族的查埔囡仔有照字勻號名，查某囡仔無。,"In ka-tso̍k ê tsa-poo-gín-á ū tsiàu jī-ûn hō-miâ, tsa-bóo-gín-á bô. ",他們家族的男孩子照輩份取名，女孩子沒有。
閣來是雞年，你犯太歲，過年著愛去廟裡安太歲。,"Koh lâi sī ke-nî, lí huān thài-suè, kuè-nî tio̍h-ài khì biō--lí an Thài-suè. ",再來是雞年，你犯太歲，過年得去廟裡安太歲。
厝起好，內面著成格。,"Tshù khí-hó, lāi-bīn tio̍h tshiânn-kik. ",房子蓋好後，室內必須隔間裝潢。
我有代誌愛先走，賰的工課，麻煩你鬥收煞。,"Guá ū tāi-tsì ài sing tsáu, tshun ê khang-khuè mâ-huân lí tàu siu-suah. ",我有事得先走，剩下的工作，麻煩你幫忙收場。
伊掠做是囡仔去沖犯著，想欲請司公來收煞。,"I lia̍h-tsò sī gín-á khì tshiong-huān--tio̍h, siūnn-beh tshiánn sai-kong lâi siu-suah. ",他誤以為孩子沖犯了鬼神，想要請道士來驅煞。
伊少年的時傷過匪類，厝內一寡財產予伊敗了了，致使這馬有路無厝。,"I siàu-liân ê sî siunn-kuè huí-luī, tshù-lāi tsi̍t-kuá tsâi-sán hōo i pāi-liáu-liáu, tì-sú tsit-má ū-lōo-bô-tshù. ",他年少時太過於放蕩，家裡一些財產被他花光光，導致現在流離失所。
相分，食有賰；相搶，食無份。,"Sio-pun, tsia̍h ū tshun; sio-tshiúnn, tsia̍h bô hūn. ",飲食互相分享，則綽綽有餘；互相爭搶，反而沒得吃。諺語，比喻禮讓則互蒙其利，爭奪則互受其害。
捌甲有賰,bat kah ū-tshun,非常熟稔
伊足久無頭路矣，規个人看著死殗殗。,"I tsiok kú bô thâu-lōo--ah, kui-ê lâng khuànn tio̍h sí-giān-giān. ",他失業很久了，整個人看起來死氣沉沉的。
伊毋聽爸母苦勸，走去佮人較車，煞摔一下死殗殗。,"I m̄ thiann pē-bú khóo-khǹg, tsáu-khì kah lâng kà-tshia, suah siak tsi̍t-ē sí-giān-giān. ",他不聽父母苦勸，跑去跟人家飆車，竟摔得死翹翹。
你炒菜鹽下傷濟，會變甲誠死鹹。,"Lí tshá-tshài iâm hē siunn tsē, ē piàn kah tsiânn sí-kiâm. ",你炒菜鹽放得太多，會變得太鹹。
這起命案，警方真無簡單才揣著被害者的死體。,"Tsit khí miā-àn, kíng-hong tsin bô kán-tan tsiah tshuē-tio̍h pī-hāi-tsiá ê sí-thé. ",這起命案，警方好不容易才找到被害者的屍體。
人的性情是百百款。,Lâng ê sìng-tsîng sī pah-pah-khuán. ,人的性情是形形色色。
你遐𠢕，若參加比賽，百面贏的。,"Lí hiah gâu, nā tsham-ka pí-sài, pah-bīn iânn--ê. ",你那麼有本事，要是參加比賽，一定會贏的。
以早的囡仔攏會曉做竹田嬰耍。,Í-tsá ê gín-á lóng ē-hiáu tsò tik-tshân-enn sńg. ,以前的小孩子都會製作竹蜻蜓來玩。
阿公定定佇阮厝後的竹模跤歇涼。,A-kong tiānn-tiānn tī guán tshù-āu ê tik-bôo-kha hioh-liâng. ,爺爺常常在我們家後面的竹叢下乘涼。
坐竹雞仔車雖然較俗，毋過較無保險。,"Tsē tik-ke-á-tshia sui-jiân khah sio̍k, m̄-koh khah bô pó-hiám. ",搭非法客運雖然便宜些，但是比較不保險。
地動了後，規家死甲賰伊一个老孤𣮈。,"Tē-tāng liáu-āu, kui-ke sí kah tshun i tsi̍t ê lāu-koo-khu̍t. ",地震之後，全家死絕，只剩下他一個孤身無靠的老人。
人若有歲閣孤獨，人會叫伊老孤𣮈。,"Lâng nā ū-huè koh koo-ta̍k, lâng ē kiò i lāu-koo-khu̍t. ",人若年紀老了又孤僻，人家會稱呼他孤獨老人。
賰一寡肉幼仔，你毋著共伊窮窮咧，閣留咧創啥物！,"Tshun tsi̍t-kuá bah-iù-á, lí m̄-tio̍h kā i khîng-khîng--leh, koh lâu leh tshòng siánn-mih! ",剩一些肉屑，你怎不把它吃光，還留著做什麼！
塑膠射出的成品脫模了後，邊仔一寡肉幼仔愛閣抾抾咧！,"Sok-ka-siā-tshut ê sîng-phín thuat-bôo liáu-āu, pinn--á tsi̍t-kuá bah-iù-á ài koh khioh-khioh--leh! ",塑膠射出的成品脫模後，旁邊一些屑屑要再修一修！
肉糋著糋甲拄仔好才好食。,Bah-tsìnn tio̍h tsìnn kah tú-á-hó tsiah hó-tsia̍h. ,油炸的肉要炸到剛好才好吃。
伊自早就真拍拚。,I tsū-tsá tō tsin phah-piànn. ,他一向很努力。
這台車是自家用的，無營業牌。,"Tsit tâi tshia sī tsū-ka-iōng--ê, bô îng-gia̍p-pâi. ",這輛車是自家轎車，沒有營業牌照。
婦人人難產的時，有時陣會血崩山。,"Hū-jîn-lâng lân-sán ê sî, ū-sî-tsūn ē hueh-pang-suann. ",婦女難產時，有時候會血崩。
伊食毋著藥仔煞行去。,I  tsia̍h m̄-tio̍h io̍h-á suah kiânn--khì. ,他吃錯了藥就蹺辮子了。
伊欲出門去做工，煞臨時接著電話，行袂開跤。,"I beh tshut-mn̂g khì tsò-kang, suah lîm-sî tsiap tio̍h tiān-uē,  kiânn-bē-khui-kha. ",他要出門去做工，卻臨時接到電話，無法說走就走。
行船人佇海上作業，風險真大。,"Kiânn-tsûn-lâng tī hái-siōng tsok-gia̍p, hong-hiám tsin tuā. ",船員在海上作業，風險很大。
閒閒罔出來行跤花。,Îng-îng bóng tshut-lâi kiânn-kha-hue. ,閒著沒事姑且不妨出來閒逛。
免佮伊講，佮伊講，講袂伸捙。,"Bián kah i kóng,  kah i kóng, kóng bē tshun-tshia. ",不用跟他說，跟他說，說不清楚。
幼路工課低路師做無路來。,Iù-lōo khang-khuè kē-lōo-sai tsò bô-lōo-lâi. ,精細的工作能力很差的人做不來。
占贏毋占輸。,Tsiàm-iânn m̄ tsiàm-su. ,只想佔上風，不想屈居下風。
佗落是我好徛起的所在？,Tó-lo̍h sī guá hó khiā-khí ê sóo-tsāi? ,何處是我安居的地方？
卵、牛奶、肉類、豆仔類是咱人的食食當中重要的卵白質來源。,"Nn̄g, gû-ling, bah-luī, tāu-á-luī sī lán lâng ê tsia̍h-si̍t tang-tiong tiōng-iàu ê nn̄g-pe̍h-tsit lâi-guân. ",蛋、牛奶、肉類、豆類是吾人的食物當中重要的蛋白質來源
呔會按呢？,Thài ē án-ne? ,怎麼會這樣？
物價一直起，囤貨的生理人趁甲笑咍咍。,"Bu̍t-kè it-ti̍t khí, tún-huè ê sing-lí-lâng thàn kah tshiò-hai-hai. ",物價一直上漲，囤積貨物的商人賺得笑哈哈。
伊的人袂囥話，你莫啥物代誌攏講予伊聽。,"I ê lâng bē khǹg-uē, lí mài siánn-mih tāi-tsì lóng kóng hōo i thiann. ",他那個人藏不住話，你別什麼事都講給他聽。
欲完成這條高速鐵路，著閣坉錢。,"Beh uân-sîng tsit tiâu ko-sok-thih-lōo, tio̍h koh thūn-tsînn. ",想要完成這條高速鐵路，得再填補資金。
是你得失人，愛去共人坐毋著。,"Sī lí tik-sit--lâng, ài khì kā lâng tshē-m̄-tio̍h. ",是你得罪了人家，要去向人家賠個不是。
桶仔坐底，袂用得。,"Tháng-á tshē-té, bē īng--tit. ",桶子的底部脫落，不能用了。
洗藕粉，著等藕粉坐底。,"Sé ngāu-hún, tio̍h tán ngāu-hún tshē-té. ",篩洗藕粉，要等藕粉沈澱。
船破，海坐底。,"Tsûn phuà, hái tshē-té. ",船破了，會進水，最後總要沈入海底。俗語，比喻兒子負債，雙親為之償還；或指事情失敗了，主其事者還是要承擔責任。
欲去食桌，著愛小妝娗一下，才袂失人的禮。,"Beh khì tsia̍h-toh, tio̍h-ài sió tsng-thānn--tsi̍t-ē, tsiah bē sit lâng ê lé. ",要去赴宴，得要稍微打扮一下，才不會對人家失禮。
用樹椏來做妝娗。,Īng tshiū-ue lâi tsò tsng-thānn. ,用樹枝來做裝飾。
恁爸母生甲你這个孝尾囝，有夠了然。,"Lín pē-bú senn kah lí tsit ê hà-bué-kiánn, ū-kàu liáu-jiân. ",你父母生了你這個不長進的傢伙，真是枉然。
孝男面，無人緣。,"Hàu-lâm-bīn, bô-lâng-iân. ",哭喪著臉，人緣不佳。
頭先都講好勢矣，尾來煞來反僥。,"Thâu-sing to kóng hó-sè--ah, bué--lâi suah lâi huán-hiau. ",一開始都說好了，到最後卻又反悔。
尿桶有足濟尿滓，毋著摖摖咧。,"Jiō-tháng ū tsiok tsē jiō-tái, m̄-tio̍h tshè-tshè--leh. ",尿桶有很多尿的沈澱物，需要刷一刷。
咱若做一擺忘恩背義的代誌，後擺就無人敢佮咱做朋友矣。,"Lán nā tsò tsi̍t pái bōng-un-puē-gī ê tāi-tsì, āu-pái tō bô lâng kánn kah lán tsò pîng-iú--ah. ",我們如果做一次忘恩負義的事情，下次就沒人敢和我們做朋友了。
汫水魚入鹹水港。,Tsiánn-tsuí-hî ji̍p kiâm-tsuí-káng. ,淡水魚游進鹹水港，是無法生存的。俗語，比喻人入錯了行，或進入不適合自己的環境，無法發揮專長。
伊共藥仔啉落去，煞袂牢腹，又閣吐出來。,"I kā io̍h-á lim--lo̍h-khì , suah bē tiâu-pak, iū-koh thòo--tshut-lâi. ",他把藥喝下去，卻在腹中留不住，又吐了出來。
放學轉來，伊就閣餾，遮爾認真，一定會讀甲牢腹。,"Pàng-o̍h tńg--lâi, i tō koh liū, tsiah-nī jīn-tsin, it-tīng ē tha̍k kah tiâu-pak. ",放學回到家，他又再複習，這麼認真，一定能讀到牢牢記住。
罕罕仔才啉一擺酒。,Hán-hán--á tsiah lim tsi̍t pái tsiú. ,久久才喝一次酒。
阮阿母最近攏咧共人育𤆬囡仔，加減趁寡私奇。,"Guán a-bú tsuè-kīn lóng teh kā lâng io-tshuā gín-á, ke-kiám thàn kuá sai-khia. ",我媽媽最近都在幫人帶小孩，多少賺些私房錢。
這帖漢藥食落去，真緊就見效。,"Tsit thiap hàn-io̍h tsia̍h--lo̍h-khì, tsin kín tō kiàn-hāu.",這帖中藥吃下去，很快就見效。
即時見效,tsik-sî kiàn-hāu,即時收效，立竿見影
惹著角蜂,jiá-tio̍h kak-phang,惹上壞人或禍事
日頭赤焱焱，隨人顧性命。,"Ji̍t-thâu tshiah-iānn-iānn, suî lâng kòo sènn-miā. ",烈日炎炎，各人只能自保。俗語，比喻在惡劣環境中自顧不暇，不願對人伸出援手。
走水客,tsáu-tsuí-kheh,單幫客
做走水仔,tsò tsáu-tsuí-á,做單幫客，稍帶貶義
走水貨,tsáu-tsuí-huè,單幫貨、走私貨
滿街路攏是人，真鬧熱。,"Muá ke-lōo lóng sī lâng, tsin lāu-jia̍t.",滿街都是人，很熱鬧。
雄雄一陣西北雨，眾人一時煞走無路。,"Hiông-hiông tsi̍t tsūn sai-pak-hōo, tsìng-lâng tsi̍t-sî suah tsáu-bô-lōo. ",突然來了一陣午後雷陣雨，大伙兒一下子無處可逃。
食著無清氣的物件煞走腹。,Tsia̍h-tio̍h bô tshing-khì ê mi̍h-kiānn suah tsáu-pak. ,吃到不乾淨的東西竟然拉肚子。
這遍一百公尺走標，阮彼班的阿明得著第一名。,"Tsit piàn tsi̍t-pah kong-tshioh tsáu-pio, guán hit pan ê A-bîng tit-tio̍h tē-it miâ. ",這次一百公尺賽跑，我們那班的阿明得到了第一名。
阿公逐工透早起來，攏會佇稻埕走標。,"A-kong ta̍k-kang thàu-tsá khí--lâi, lóng ē tī tiū-tiânn tsáu-pio. ",爺爺每天清早起床，都會在曬穀場跑步。
伊不時走學，莫怪功課無好。,"I put-sî tsáu-o̍h, bo̍k-kuài kong-khò bô hó. ",他常常逃學，難怪功課不好。
一下捋，就走縒。,"Tsi̍t-ē lua̍h, tsiū tsáu-tsua̍h. ",俗語，厲害的拳師一碰觸到對方的手臂，對方馬上受傷。或指一出手就賠錢。或指一插手就把事情搞砸。
雙爿講的話無走縒。,Siang-pîng kóng ê uē bô tsáu-tsua̍h. ,雙方所說的話沒有出入。
機器有佗位仔走縒，才袂振動。,"Ki-khì ū tó-uī-á tsáu-tsua̍h, tsiah bē tín-tāng. ",機器有某個地方故障，才不會運轉。
身體有走縒，才袂食飯。,"Sin-thé ū tsáu-tsua̍h, tsiah bē tsia̍h-pn̄g. ",身體有恙，才吃不下飯。
千斤重擔有人擔，辛苦病疼無人擔。,"Tshian kin tāng-tànn ū lâng tann, sin-khóo-pēnn-thiànn bô lâng tann. ",俗語，千斤的重擔，有人來幫忙挑，但罹患病痛，卻無人能分擔。勸人保重身體。
車斗有張升降尾門，較好起落貨。,"Tshia-táu ū tiunn sing-kàng-bué-mn̂g, khah hó khí-lo̍h-huè. ",車斗安裝了電動升降尾門，較容易上下貨。
你共車斗開開通好來囥行李。,Lí kā tshia-táu khui--khui thang-hó lâi khǹg hîng-lí. ,你把後車箱打開以便放置行李。
